"0.00 - Kids 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMzx4FjhocMyRlBKV62U4-3k]
    idTtdWVmFAQ    |    Introduction to Integers
    YO24jWKfggQ    |    Differentiating Exponential Functions continued (1 of 2: Review questions)
    gisH9f1VkBw    |    Differentiating Exponential Functions continued (2 of 2: Further examples)
    cWtLUiGULmg    |    Exponential Functions with Other Bases (1 of 2: Reframing problems)
    SQSQAOorqx0    |    Exponential Functions with Other Bases (2 of 2: Deriving the formula)
    K9q0E5ysDnw    |    Differentiating Logarithmic Functions (1 of 4: Developing intuitions)
    7SvjIZCLbPE    |    Differentiating Logarithmic Functions (2 of 4: Proving the formula)
    -N8e21WVhzM    |    Diffferentiating Logarithmic Functions (3 of 4: Basic examples)
    SNg4t5a7VOc    |    Differentiating Logarithmic Functions (4 of 4: Further examples)
    IgljHgqF1Bo    |    Differentiating Logarithmic Functions Without Base e
    ADlQR9-77Fs    |    Applications of Differentiating Log Functions (1 of 2: Calculating a tangent)
    AfF24j7KIFM    |    Applications of Differentiating Log Functions (2 of 2: Calculating a normal)
    LfF3caEHIws    |    Differentiating Trigonometric Functions (1 of 5: Review questions)
    eA32R_aCXLQ    |    Differentiating Trigonometric Functions (2 of 5: Taking gradient measurements)
    JFTer8aZHNE    |    Differentiating Trigonometric Functions (3 of 5: Understanding cos x & tan x)
    AXP_tTlEyUk    |    Differentiating Trigonometric Functions (4 of 5: Chain rule examples)
    hz6LksKMaTs    |    Differentiating Trigonometric Functions (5 of 5: Exploring the derivative of tan x)
    pKU9EhCtAw0    |    Application of Trigonometric Derivatives (1 of 2: Finding the tangent)
    7lMC8mEqAZE    |    Application of Trigonometric Derivatives (2 of 2: Evaluating an area)
    d8nvLcqTwXI    |    Differentiating Trigonometric Functions (2 of 2: Example using quotient rule)
    9s5WAzyHktk    |    Using Derivatives of Trigonometric Functions (1 of 2: Finding a tangent)
    43X6cZoHaiw    |    Using Derivatives of Trigonometric Functions (2 of 2: Sketching a curve)
    AGAIfsMo9y4    |    Summarising Derivatives of all Trigonometric Functions
    4SOGAQUdeYI    |    Differentiating a^(cos x)
    fi0A7vbfH8k    |    Summary of Exponential, Logarithmic & Trigonometric Derivatives

"1.14 - algebra.Graphs 4"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMyhRmehfgcS35BhjE1Ppag5]
    flGUyDD_NWw    |    Where does the Product Rule come from? (1 of 2: Delta Notation)
    9kkA6OJ0f-E    |    Where does the Product Rule come from? (2 of 2: Derivation)
    OkkBQR9hlA8    |    Differentiating Exponential Functions (First Principles)
    9iR3FyWywac    |    Differentiating Exponential Functions (Computer Aided)
    qnr0YQJrzgw    |    Differentiating Exponential Functions: e
    9YNJJy5vYGo    |    Differentiating Logarithmic Functions
    IKIbX-3WrUk    |    Differentiating Logarithmic Functions (Examples)
    htTTj-MsECo    |    Limits & Continuity (1 of 3: Formal intro to limits)
    cm4_V5hopcE    |    Limits & Continuity (2 of 3: Limits that exists when functions don't)
    cUoQy4UDMcs    |    Graphing Rational Functions (1 of 4: Understanding asymptotes)
    EN9rWktLiWA    |    Graphing Rational Functions (2 of 4: Basic example)
    alYwrZmCU5A    |    Graphing Rational Functions (3 of 4: Harder example - identifying features)
    vPlMrtrAOG0    |    Introduction to Graphing Rational Functions (SFAIR)
    5BdHFaEEHnI    |    How to Graph x+1/x (1 of 3: Identifying Initial Features)
    uBW0mAdMt7g    |    How to Graph x+1/x (2 of 3: Understanding the Oblique Asymptote)
    ZEcrlRtEs4M    |    How to Graph x+1/x (3 of 3: Putting the Pieces Together)
    ncJOmJdyLII    |    Graphing by Regions (1 of 3: How Positives & Negatives Interact)
    erdjGO19OjM    |    Graphing Rational Functions (1 of 4: Products and their signs)
    X6QDgb6yMZ4    |    Graphing Rational Functions (2 of 4: Overall strategy)
    7HXbPYdMHVs    |    Graphing a Rational Function Step-By-Step
    e1BajeOCoPo    |    Oblique Asymptotes (1 of 3: Comparing with other asymptotes)
    M99_zZCtes4    |    Solving an Inequality with a Rational Function (1 of 2: Solving graphically)
    zKnUX6t8inw    |    Solving an Inequality with a Rational Function (2 of 2: Solving algebraically)
    dHkiqaX9mPA    |    Finding the equation of a normal at a given point
    WFp0bPD3acI    |    Graphing Rational Functions (3 of 4: Initial examples)
    2CuqqVRYifo    |    Graphing Rational Functions (4 of 4: Harder examples)
    c7ONWta-MBY    |    Graphing by Regions (2 of 3: Different Combinations of Identical Factors)
    JVoZlz5RcnM    |    Graphing by Regions (3 of 3: One Last Example)
    9OVRsk8bRKo    |    Determining the Oblique Asymptote (Polynomial Division)
    0NqBdcdlr1g    |    Rational Functions (1 of 3)
    yYZZvRq8r4Y    |    Rational Functions (2 of 3)
    bO7PU-x7NG8    |    Rational Functions (3 of 3)
    SG2vivpA69o    |    Multiplication & Division of Functions (1 of 4: Intercepts & asymptotes)
    pwRJn2wmUFQ    |    Limits & Continuity (3 of 3: Applications to graphs)
    3DomUVAqhtU    |    Why do I teach mathematics? (CESE Interview)
    sEdffnsESJs    |    Multiplication & Division of Functions (3 of 4: Example with oblique asymptote)
    aOnVirmMW8U    |    How to Graph 1/(x²+1)
    wCmXOkqCwck    |    Addition & Subtraction of Ordinates (3 of 4: x² + 1/x)
    VeTK2rzhz5k    |    How to Graph (x³+1)/x
    eq9kRZL7Ma0    |    Graphing When You Can't Factorise (1 of 4: General Shape)
    FFV0pHJ3hhA    |    Graphing When You Can't Factorise (2 of 4: Understanding the Discriminant)
    tB10jVE4glw    |    Graphing When You Can't Factorise (3 of 4: Determining the Range)
    6AabgQd52U8    |    Graphing When You Can't Factorise (4 of 4: Finding Turning Points Without Calculus)
    Ldq2VRKvHVM    |    Multiplication & Division of Functions (4 of 4: Graphing y = x*lnx)
    AsIzAiCLy7I    |    Graphing Reciprocal Functions
    2HOGQ7x_j6s    |    Oblique Asymptotes (2 of 3: Using calculus)
    jkVuLI8gpps    |    Oblique Asymptotes (3 of 3: Investigating shapes)

"1.15 - algebra.Graphs 5"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMxhN4AumcQoQfJWy52j8WGv]
    WdDc_HktIlo    |    Differentiating with Product & Chain Rule (example question)
    W4y1ydC9IK0    |    What is continuity?
    BywWffdXTsM    |    Interesting Discontinuity Example
    KI-I2T9g_c4    |    Differentiability (includes counter-examples)
    ZmrDIdzOAAE    |    Piecewise Functions
    wIgmyE5Juzw    |    Wallows - Are You Bored Yet? (feat. Clairo) [Official Video]
    bDHKgz-rJqg    |    Graphing Reciprocal Functions (1 of 4: Linear example)
    RFt7Z-vKYps    |    Graphing Reciprocal Functions (2 of 4: Considering sign)
    RIk3pI9upRE    |    Graphing Reciprocal Functions (3 of 4: Considering symmetry)
    _8Ok5MsS_ZY    |    Graphing Reciprocal Functions (4 of 4: Cubic + semi-circle examples)
    _oanNS-sktE    |    Graphing Squared Functions (1 of 2: Linear + quadratic examples)
    tsGhEfvuUMM    |    Graphing Squared Functions (2 of 2: Cubic + semi-circle examples)
    4mxg9KaQXDw    |    Graphing Square Root Functions (1 of 3: Linear example)
    kJVw8D86_2g    |    Graphing Square Root Functions (2 of 3: Quadratic example)
    JiPpbPxC7ok    |    Graphing Square Root Functions (3 of 3: Cubic example)
    N8KzV9wgmpQ    |    Graphing Powers of Functions (2 of 4: Understanding square behaviour)
    L08tdBzgSWg    |    Graphing Powers of Functions (3 of 4: y = sin²x)
    E-Ly4WQ1g68    |    Graphing Powers of Functions (4 of 4: y = √sinx)
    ai0XgSVr8yY    |    Multiplying Functions Visually (1 of 3: Introduction)
    -LanM2u_6vA    |    Multiplying Functions Visually (2 of 3: Linear × Parabola)
    dE02skw2Tjo    |    Multiplying Functions Visually (3 of 3: Parabola × Parabola)
    tjF5CKQe4is    |    Graphing Reciprocal Trigonometric Functions (1 of 2: Cosecant)
    wkWn3JPcLSE    |    Graphing Reciprocal Trigonometric Functions (2 of 2: Cotangent)
    fd9m1Uod1fs    |    Spaghettification (From "Loki: Season 2 - Vol. 2 (Episodes 4-6)"/Score/Audio Only)
    gszP_i8A-zc    |    Welcoming change for the future of maths
    1BMO80jha3U    |    Inverse Functions (1 of 4: Introduction via trigonometry)
    oskfY7goQ58    |    Inverse Functions (2 of 4: Noticing the visual relationship)
    8Fp06c7Wz0M    |    Inverse Functions (3 of 4: Mutual inverses)
    nJ_NhrtWZag    |    Inverse Functions (4 of 4: Restricting the domain)
    CSpAdP-AwEY    |    Using the curriculum as a launchpad
    aI9fAobtplA    |    Expanding Algebraic Expressions
    c9URwvkvcC0    |    Inverse Variation (1 of 4: Quick questions)
    3Iz4GpNSMj4    |    Inverse Variation (2 of 4: The painter problem)
    T8H9bXx89pY    |    Inverse Variation (3 of 4: Thinking visually about the hyperbola)
    4P_9LKxY2ns    |    Inverse Variation (4 of 4: Graphing principles)
    PoYjOJ5O7FE    |    Answers aren't everything
    YtuIeDkBpDQ    |    Polynomial Division & Graphing (1 of 3: Performing long division)
    Rdp0BlnNYiA    |    Polynomial Division & Graphing (2 of 3: Factorising the whole polynomial)
    NAYtI2qETN0    |    Polynomial Division & Graphing (3 of 3: Relating the intercepts & graph shape)
    k6vJA15q04o    |    Remainder & Factor Theorem (1 of 3: The division transformation)
    z-byWXvIlgc    |    Remainder & Factor Theorem (2 of 3: Fully factorising a polynomial)
    q_4x_tgMMtE    |    Remainder & Factor Theorem (3 of 3: Determining a polynomial from remainders)
    pd3Z0B3gmIU    |    Solving Polynomial Equations (1 of 2: Using the factor theorem)
    kLk8cUBe0Jg    |    Solving Polynomial Equations (2 of 2: Determining solutions)

"1.20 - algebra.Diff 4: Apply Diff ➡️ Limits"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMznOaR-LBtsDXMwu-XdhQ9I]
    tt2DGYOi3hc    |    Introduction to Calculus (1 of 2: Seeing the big picture)
    rdN1oxtds8U    |    Small Angle Approximations (1 of 4: Proof)
    p1Vl9YNNIbw    |    Small Angle Approximations (2 of 4: Applied examples)
    JByRDFa0plg    |    Small Angle Approximations (3 of 4: Pure examples)
    MkYWnG8zmaQ    |    Evolving with mathematics
    kfF40MiS7zA    |    Limits, L'Hôpital's rule, and epsilon delta definitions | Chapter 7, Essence of calculus
    RjMNyZbP9PY    |    Small Angle Approximations (4 of 4: Derivative of sin(x))
    ycO0Vn_w9Q0    |    l'Hospital Practice | MIT 18.01SC Single Variable Calculus, Fall 2010
    g7IoTtd0oBY    |    The Behaviour of tan(x) & x at the Origin
    reMXJtvzFL8    |    Sin(x), x & tan(x) at the Origin (Example Questions)
    WAExRA_CCkc    |    Evaluating Trigonometric Limit (example question)
    T0kuMKR3hks    |    Solving Limits involving properties of Trigonometric Functions as they approach the origin.
    ydvVIGr9Hdc    |    Apply Bernoulli's (L'Hopital's Rule) Everywhere 😜
    BUoutWDwDM8    |    limit_(x→0) cosec(x)/x   | You can check the graph before applying Bernoulli's (L'Hôpital's) Rule
    awk5Co-9rcc    |    Unusual Trigonometric Derivative Proof
    INoXqqmNRJQ    |    Using L'Hopital's Rule to show that exponentials dominate polynomials
    rdQkqlyvTzA    |    Why  0/0 via substituting x→0  is needed for applying Bernoulli's Rule (L'Hopital's Rule)
    Ql-1C4YlQzo    |    Revision of Log Laws
    MIdOT2cIuQE    |    The Derivative of ln x
    jzhn9Xg5iAQ    |    Applying L'Hopital's Rule to Exponential Indeterminate Forms
    3kG2qoEdptQ    |    Differentiating Log Functions w/ Chain Rule
    ZBJQIv1ZPdU    |    Hyperbolic Sine & Cosine
    -o34rPDcgj0    |    Rephrasing Exponentials in Base e
    -NUWkohcSJI    |    Applications of First Principles (1 of 4: Refining language and notation)
    Ar25C2tg_wY    |    Applications of First Principles (2 of 4: The function 1/x)
    9YvC0inO_SU    |    Differentiating a Rational Function by First Principles
    Mqmv9JMjCBg    |    Y10 Review Questions (Rationalising denominators)
    daOrt1Z3pP8    |    Applications of First Principles (3 of 4: The function √x)
    zmUK_8EqcJU    |    Differentiating the fourth root of x (by first principles)
    nVU9Lgq_nho    |    CALCULUS SPEEDRUN || Limits || Episode 1
    g45quDrSA6g    |    Understanding Limits and L'Hospital's Rule
    QKXAd2PhZGY    |    Failure of L'Hospital's Rule | MIT 18.01SC Single Variable Calculus, Fall 2010
    -unUH8qbkrw    |    Tricky Trig Limit Question
    z1DQQE8iC9k    |    L'Hopital's Rule Lesson Calculus 1 AB with 8 Examples
    uFASwTlwcq4    |    Chain Rule
    2NWxmkWwiJM    |    Intuitive Approach to Gradient Function of sin(x)
    kY_h8xzRaYE    |    Convergence of sin(x), x, and tan(x)
    h5OIRugAxr8    |    Radian Measure result for sin(x), x and tan(x)
    xhKf7v2FU_g    |    AP Calculus AB and BC Unit 1 Review [Limits and Continuity]

"1.21 - algebra.Integ 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMwANfTsOoO4vj1F8BaDRxpp]
    boxEwXwYay8    |    Introduction to Primitives
    Kk_xbdffrkM    |    Anti-Differentiation: Polynomial Functions
    2jzCl2xIqrI    |    12M7 Bloopers #3: Count On Me
    nbedyaUrJXM    |    Primitive Functions: Evaluating the Constant
    b8R71mJPcIs    |    Reverse Chain Rule for Polynomials: Basic Examples
    mzI_IilwLWE    |    Reverse Chain Rule for Polynomials: Be Careful!
    3wUXXyRoypM    |    Reverse Chain Rule for Polynomials: General Rules
    gvBSBtcHPmA    |    Introducing Integration (1 of 4: Considering displacement vs. time)
    pYLMuEWSdRQ    |    Introducing Integration (2 of 4: Considering velocity vs. time)
    Udc2ARenFBU    |    Introducing Integration (3 of 4: Notation)
    _1zdoYl9gYc    |    For All Mankind - Pathfinder Fires Its Missiles
    0GA7gMFNrj8    |    Primitive Functions (1 of 2: What is anti-differentiation?)
    6NG0GRS66X8    |    Primitive Functions (2 of 2: Basic example question)
    _hf3JowQfKM    |    The Story of Integration (1 of 4): Areas Under Curves
    2eumjKINo6w    |    The Story of Integration (2 of 4): Riemann's Integral
    LGCMzjF6eXs    |    The Story of Integration (3 of 4): The Relation to Derivatives
    YZdU_muqre8    |    The Story of Integration (4 of 4): Forming & Evaluating an Integral
    7_OxSGsDRwI    |    Introducing Integration (4 of 4: Concrete examples)
    utw_UqOphx4    |    [1080p] FAM S02E10 | Gordo Stacy | Lunar Sacrifice
    KRe2B6BSNJc    |    Fundamental Theorem of Calculus (1 of 5: Considering COVID-19)
    W5An0dfd7gM    |    Fundamental Theorem of Calculus (2 of 5: Areas under curves)
    SaJpsnvXJgk    |    Fundamental Theorem of Calculus (3 of 5: Relating derivatives & integrals)
    VSl6kIxQmlM    |    Fundamental Theorem of Calculus (4 of 5: Basic examples)
    gmHvW3IJUp4    |    Fundamental Theorem of Calculus (5 of 5: Taking care with negative indices)
    XXpcVsBotW4    |    For All Mankind - Saving Apollo 24
    Zg4dJVvwRko    |    Definite & Indefinite Integrals
    hc28Q8Ye2_c    |    Indefinite Integrals (1 of 2: Compared to definite integrals)
    A7X1__0Z_Yo    |    Indefinite Integrals (2 of 2: Example questions)
    fZkcuEsC_CA    |    Relating Integrals & Areas
    1a8d3rWQPhg    |    Indefinite Integrals (1 of 3: Simple polynomial examples)
    VyqNI6-I2Lc    |    Indefinite Integrals (2 of 3: Basic reverse chain rule examples)
    O2Ug05xiiLY    |    Indefinite Integrals (1 of 4: Review questions & introduction)
    RZkvSZUXGvc    |    Indefinite Integrals (2 of 4: Reverse chain rule)
    f0Aaz1TsqiE    |    Indefinite Integrals (3 of 4: When different approaches give different answers)
    S1tSuDDU9dk    |    Indefinite Integrals (4 of 4: Rephrasing primitives from index form)
    RzKci1rdnoM    |    Indefinite Integrals (3 of 3: Harder reverse chain rule examples)
    C_vyW0EJy2s    |    For All Mankind - Space Travel is Worth It (S1 Ending)
    Zgu6uZysGO0    |    Integrating Exponential Functions (Basics)
    NmQWTapWlW8    |    Differentiating the Logarithmic Function (3 of 5: Proof by implicit differentiation)
    MOxS_o8Qu_Y    |    Integration & Logs
    PRpqtwHHR0M    |    Differentiating the Logarithmic Function (4 of 5: Restricting domain)
    -N8e21WVhzM    |    Diffferentiating Logarithmic Functions (3 of 4: Basic examples)
    fUP0oFzUkao    |    Integration & Logarithmic Functions: Non-Log Integrands (1 of 3)
    dBdRWG5Uau4    |    Integration Practice (1 of 7: Exponential integrals)
    44avf4uXLiY    |    Integrating Trigonometric Functions (1 of 4: Review questions)
    LZXM6nSCFA4    |    Integrating Trigonometric Functions (2 of 4: Establishing basic results)
    3eBsPt9Jjsc    |    Integrating Trigonometric Functions (3 of 4: Rearranging to use reverse chain rule)
    ZbgIQkjihE0    |    Primitives of Trigonometric Functions
    EkVbB48IAYw    |    Integrating Trigonometric Functions (4 of 4: How do we integrate tan x?)
    5-FcyRHZiWI    |    Reverse Chain Rule for Trigonometric Functions
    DB8i1kyXkWc    |    Interstellar - Miller's Planet (HDR - 4K - 5.1)
    Emlhn-aDwro    |    Primitives of Exponential Functions
    u-XDho_D1l8    |    Integrating Exponentials with Other Bases
    tvqFRgGLGxU    |    Integrating Exponential Functions
    AMvrk_KJsjg    |    Integration of Harder Exponential Functions
    R1f7OC0lK0k    |    Reverse Chain Rule for Rational Functions
    zoV8fKNfZxs    |    Integrals & Logarithmic Functions (2 of 2: Why are there absolute value signs?)
    dT-7IjTlnZk    |    Differentiating the Logarithmic Function (5 of 5: Equation of a tangent)
    LnUTAxFd4tI    |    Integrals & Logarithmic Functions - Why does the solution look different?

"1.22 - algebra.Integ 2"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMyogEn_k6BrNHUYBFmFVlFp]
    8kooIgKESYE    |    Interstellar theme song - video
    O5oIaCfVFp4    |    Understanding Integration (1 of 2: Different axes, methods of evaluating definite integrals)
    e5tF_17rjqs    |    Understanding Integration (2 of 2: Signed area)
    7yymbRwJo-A    |    Integrals & Area (1 of 2: Finding the limitations of Integrals)
    MvcK2wmNrww    |    Integrals & Area (2 of 2: Finding Properties of Integrals with Odd and Even Integrands)
    _v04piON3M8    |    Indefinite Integrals (1 of 2: Making Connections with areas and volumes through integrals)
    4HyrrSq9dKk    |    Indefinite Integrals (2 of 2: Finding the connection between Volumes, Areas and Corner Lengths)
    vhnpMXnskCA    |    Integration & Circle Formulas
    1rmc8B-CcVY    |    Properties of Definite Integrals (1 of 4: Sign & symmetry)
    kId4IcgXNOA    |    Properties of Definite Integrals (2 of 4: Dissection & direction)
    gAFSnrEFYHc    |    Properties of Definite Integrals (3 of 4: Addition)
    6E6fpEBP9B8    |    Properties of Definite Integrals (4 of 4: Piecemeal functions)
    hF7tBGSjFP4    |    Properties of Definite Integrals: Constant Co-efficients
    TlTaSi8EIF8    |    Properties of Definite Integrals: Even Functions
    -S5_9V0T8Hs    |    Phenomenom: Eddie Woo and the Fun Guys (who are actually quite serious)
    zAlyr3ON6VY    |    ABC Q&A Education Special 2020
    TlKXbjSpa0I    |    Teaching with YouTube 01: Equipment
    fqOYpinjCkk    |    Teaching with YouTube 02: Shooting + Editing
    gcU3T4EgzyY    |    Teaching With YouTube 03: Uploading
    cDbnPaeZgQ0    |    A Turning Point Mystery (1 of 2: Introducing the problem)
    a0ePXSvQuaQ    |    A Turning Point Mystery (2 of 2: An unusual derivative)
    6eiRlfO7ZIU    |    Byron Bay Writers Festival 2019 - ABC Interview
    FjE3CPEzM4w    |    Emoji Maths Puzzle (1 of 2: Setting up the problem)
    T7LBx5RV1Pk    |    Emoji Maths Puzzle (2 of 2: Evaluating the integral)
    QsNu-K7iQL0    |    COVID-19 Q&A
    SXKGKoPlCpc    |    Differential Calculus Exam Review (1 of 3: Chain rule)
    FDC7mOfSszw    |    Differential Calculus Exam Review (2 of 3: Logarithms & exponentials)
    83EFsbdHWMU    |    Differential Calculus Exam Review (3 of 3: Product rule, trigonometric functions)
    YqDlo0azVaM    |    That's Mathema-a-a-atics!
    hJLSvAIlucM    |    Integral Calculus Exam Review (1 of 5: Determining function from gradient)
    G3H09TR1vIY    |    Integral Calculus Exam Review (2 of 5: Indefinite integrals)
    Y5QGvHbETms    |    Integral Calculus Exam Review (3 of 5: Reverse chain rule for polynomial)
    RSWQG8UrXEU    |    Integral Calculus Exam Review (4 of 5: Balloon inflation question)
    Ig__fdAYTak    |    Integral Calculus Exam Review (5 of 5: Proving & using an algebraic identity)
    IUy9B9_Wf6U    |    Function Symmetry (1 of 4: Overview & definitions)
    RqslImHaVRc    |    Function Symmetry (2 of 4: Why are they called "odd" & "even"?)
    4bXzow290Hg    |    Function Symmetry (3 of 4: Combining symmetries)
    T48BgTrHm4w    |    Function Symmetry (4 of 4: Differentiating an odd function)
    MWmnXUXfFOg    |    Desmos Art Contest - my favourites!
    zKfWYeRzTaQ    |    [4K HDR] Spider-Man: Across the Spider-Verse | AM I DREAMING | End Credits
    86eL9c9ExPk    |    Using Definite Integral Properties
    c8W9_iaERnU    |    Areas by Integration (1 of 6: Basic area under curve)
    su9-sz5p3vc    |    Areas by Integration (2 of 6: Area between curve & both axes)
    UyM3qudctYs    |    Areas by Integration (3 of 6: Curve enclosing multiple regions)
    0hETCIftw3I    |    Areas by Integration (4 of 6: Area by subtraction)
    Z3Vgv5cna1w    |    Areas by Integration (5 of 6: Integrating from the y-axis)
    dE6yr8tiqy8    |    Areas by Integration (6 of 6: Area under y = ln x)
    y3gnXYGKNds    |    Basic Compound Regions (1 of 4: Finding the point of intersection)
    AQVIkMVYUg4    |    Basic Compound Regions (2 of 4: Combining the areas)
    fkzhhgacjfg    |    Basic Compound Regions (3 of 4: Constructing & interpreting the graph)
    kv_21IP3FJU    |    Basic Compound Regions (4 of 4: Evaluating the individual integrals)
    hWEfyVJLA_4    |    [4K HDR] Spider-Man: Across the Spider-Verse | SELF LOVE | Movie Scene | GWEN's BACKSTORY
    6AxVZIJZ3LA    |    Areas Between Curves (1 of 3: Establishing "top" minus "bottom")
    e8Zw927Iw0I    |    Areas Between Curves (2 of 3: Evaluating the integrals)
    SCumrbL62HA    |    Areas Between Curves (3 of 3: What about beneath the x-axis?)
    SniDiIlyHcM    |    Evaluating Compound Areas (via integration)
    ZsBOYifabtk    |    Integration & Composite Areas
    nouNg4v9I4A    |    Symmetrical Areas
    DvRLn4CWTQ8    |    Curves with Multiple Crossings (1 of 5: Locating the boundaries)
    Mv1tbyPdl_I    |    Curves with Multiple Crossings (2 of 5: Combining areas between polynomials)
    PieI74QWm5s    |    Curves with Multiple Crossings (3 of 5: Visualising trigonometric functions)
    Obdqtu3vKUo    |    Curves with Multiple Crossings (4 of 5: Symmetry & periodicity in areas)
    2B9y--GBugc    |    Curves with Multiple Crossings (5 of 5: Integrating trigonometric functions)
    1aLingC__P0    |    Logarithms as Primitive Functions (Why are there absolute value signs?)

"1.30 - geo.trig 4: Inverse Trig"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMyPkWt_JqdfLBVSozWaTeWR]
    1BMO80jha3U    |    Inverse Functions (1 of 4: Introduction via trigonometry)
    oskfY7goQ58    |    Inverse Functions (2 of 4: Noticing the visual relationship)
    SG4Hza8d22o    |    Inverse Functions (2 of 4: Finding the Inverse and the geometrical properties of Inverse Function)
    8Fp06c7Wz0M    |    Inverse Functions (3 of 4: Mutual inverses)
    nJ_NhrtWZag    |    Inverse Functions (4 of 4: Restricting the domain)
    b79e-mN1PZs    |    Graphing Functions & Their Inverses
    JCtJrqM6izc    |    Geometric Properties of Inverse Functions
    ZnZqB5Z75zI    |    Quicksilver Saves Everyone - Sweet Dreams - X-Men: Apocalypse (2016) Movie Clip HD
    7JXMfs7Mg-8    |    Inverse Trigonometric Functions (1 of 4: Choosing a Domain for the Inverse of sine)
    yfOmDk2ybww    |    Inverse Trigonometric Functions (2 of 4: Justifying the Choice of Domain)
    9ZHYD4eFh6o    |    Functions, Domains and Fussy Eaters
    Ld6C7U151SQ    |    Interpreting sin¯¹(cos x)
    fXNcPjWvf9o    |    Inverse Trigonometric Functions (3 of 4: Determining the domain of cos¯¹x and tan¯¹x)
    R148LmmJdq8    |    Inverse Trigonometric Functions: tan¯¹(x)
    Vr2tdEi2Twg    |    Inverse Trigonometric Functions (4 of 4: Graphing the Shape of the inverse Trig Functions)
    NTWI1a4xE-4    |    What it means to be human
    Xx8UxNprQtw    |    Introduction to Inverse Trig Functions (1 of 2): Why a whole new topic?
    0zqNvswuVvE    |    Properties of Inverse Functions (2 of 3: Relationship of derivatives of the original and inverse)
    TNWO64gslUk    |    For All Mankind — Helios Recruitment | Season 4 | Apple TV
    BO4-EtuYgb8    |    Differentiating sin inverse x by Considering Domain
    gszP_i8A-zc    |    Welcoming change for the future of maths
    DuiA_b8_5v4    |    Introduction to Inverse Trig Functions (2 of 2): Reviewing Functions & Relations
    183tEhupiSQ    |    Natalie Holt - TVA (From "Loki")
    x1QxDrrvBH8    |    Graphs of the Inverse Trig Functions (1 of 3: Reviewing the domain, range and shape)
    jgLvO6A7OEo    |    Graphing Inverse Trig Functions (1 of 2)
    _X7Zc9-X4ro    |    Graphs of the Inverse Trig Functions (2 of 3: Transformations of the basic inverse trig functions)
    dzX9WtPBqfI    |    Graphing Inverse Trig Functions (2 of 2)
    r2UvqSLZG-A    |    Graphs of the Inverse Trig Functions (3 of 3: WARNING - Shifting and transforming the WRONG way)
    0KOZ3VbPB0k    |    Purpose Is Glorious (From "Loki: Season 2 - Vol. 2 (Episodes 4-6)"/Score/Audio Only)
    Oyxgl5Mx8LE    |    Properties of Graphs of I.T.Fs (1 of 3: Graphically and Algebraically Solving sin¯¹x + cos¯¹x = ?)
    WLUI_zWF7dI    |    Properties of Graphs of I.T.Fs (2 of 3: Finding the solution to the compound function of arc(trig)x)
    heV7XbH6rlU    |    Properties of Graphs of I.T.Fs (3 of 3: Showing the Relationship between original & Compound)
    ECCjAuIah3s    |    Graphical & Analytical Approach to sin¯¹(sin x)
    56w_xHCApmc    |    Graphing y = cos¯¹(cos x)
    TU_q8Hu2IiE    |    Graphing y = tan¯¹(tan x)
    CSpAdP-AwEY    |    Using the curriculum as a launchpad
    7UMkV-S0Zv8    |    Differentiation of ITFs (1 of 3: Predicting the properties of d/dx(tan¯¹(x)))
    cEwzicFvh_k    |    Differentiation of ITFs (2 of 3: Using Trig Identities to find the derivative of tan¯¹(x))
    ThsJ_upnwEU    |    Differentiation of ITFs (3 of 3: Finding the Condition that make d/dx(sin¯¹(x)) what it actually is)

"1.41 - algebra.Complex 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMz5xeiVlksVHQMjiUpqsOGm]
    jA8JnlP_O6g    |    Understanding Exponential Functions and their Gradients: Intuitive Approach
    o2k1wy2CEbM    |    Understanding Exponential Functions and their Gradients: First Principles Approach
    tUWzNNXqSbk    |    CalcGREEN 1 : Ch. 1 : FUNCTIONS & FUNCTIONS
    tsGhEfvuUMM    |    Graphing Squared Functions (2 of 2: Cubic + semi-circle examples)
    bDHKgz-rJqg    |    Graphing Reciprocal Functions (1 of 4: Linear example)
    RFt7Z-vKYps    |    Graphing Reciprocal Functions (2 of 4: Considering sign)
    RIk3pI9upRE    |    Graphing Reciprocal Functions (3 of 4: Considering symmetry)
    _8Ok5MsS_ZY    |    Graphing Reciprocal Functions (4 of 4: Cubic + semi-circle examples)
    1-StCdr14dA    |    CalcGREEN 1 : Ch. 1.1 : Polynomials & Trigonometric Fuctions
    Ql-1C4YlQzo    |    Revision of Log Laws
    apUDkQ7EKRw    |    CalcGREEN 1 : Ch. 1.2 : Exponentials, Logs, & Inverses
    YhivrWDq1Xo    |    Zeroes & Coefficients (1 of 5: Noticing the relationship)
    E5WYUdC_JPI    |    Zeroes & Coefficients (2 of 5: Generalising the result)
    -cQlti5TyEk    |    Zeroes & Coefficients (3 of 5: Experimenting visually)
    8OfsArHLReA    |    Zeroes & Coefficients (4 of 5: Example problem)
